TrainingSetSize,DiffusionChain,Shape,Number,Color,Form.0,Seen.1,Form.1,Seen.2,Form.2,Seen.3,Form.3,Seen.4,Form.4,Seen.5,Form.5,Seen.6,Form.6,Seen.7,Form.7,Seen.8,Form.8,Seen.9,Form.9,Seen.10,Form.10
15,9,phone,two,blue,kinvolvan,0,votunsa,1,volsuna,0,kepliet,0,surpki,1,unifa,1,unifa,1,unfa,1,unfa,1,unfia,1,unfa
15,9,phone,two,green,kaltivol,1,sitikal,1,kaptikal,1,sulreip,1,surptudu,1,indindia,0,unifa,0,uniden,0,uniden,0,vivia,0,viviva
15,9,phone,two,red,satako,0,katikal,0,kaltivo,1,eutieo,0,ienditi,1,idenita,0,identi,1,unida,1,unida,0,vivivia,1,viviviv
15,10,berry,one,blue,vonsilvi,1,vonsata,1,vonsata,1,sabon,0,sintini,0,sabon,1,sabon,1,sabon,1,sabon,1,gourbel,0,travet
15,10,berry,one,green,valsuvin,1,vonveta,1,savonki,0,sabon,1,sabon,1,sabon,0,sabonini,0,trisabon,1,tresabon,1,buron,1,jarbon
15,10,berry,one,red,solsonva,0,suvonki,0,i,1,i,1,i,0,sabon,0,saboniti,1,sabiniti,0,sabonita,1,bourbel,0,reburn
15,10,berry,three,blue,valvanti,1,vonkata,1,continki,1,sontinki,0,sonvanti,1,sonvati,0,sabonini,0,sabonini,1,sabanititi,1,jupiten,0,bouron
15,10,berry,three,green,tolkultal,0,sanvata,1,satonki,1,sintanki,1,sintini,0,NA,0,sabonini,0,santrivantana,0,tresabon,0,septum,1,trvenesti
15,10,berry,three,red,kultuvil,0,suvonki,1,savonki,1,sontinki,1,sintini,1,sintini,1,sabonino,0,saboniti,1,saboniti,1,gerbet,1,bouron
15,10,berry,two,blue,tankasa,1,trunkata,0,contini,1,sontini,1,sontiki,0,sontiki,1,sabonini,1,sabonini,0,sabonita,0,saergt,0,jarbon
15,10,berry,two,green,sansalvin,0,trinkata,0,contini,0,sontiki,1,sontiki,0,sontinki,1,sabonini,0,santrivata,1,tresaniti,1,jarbon,1,roubon
15,10,berry,two,red,vansalkal,0,vankiti,1,satinki,1,sontini,0,sontiki,1,tintiki,0,sansoni,1,sabiniti,1,sabiniti,1,serlen,0,roubon
15,10,key,one,blue,suvintal,1,tinkata,1,tinata,1,trivata,1,tivata,1,tivata,0,trivatini,0,trintainni,0,trivata,0,trivet,0,travelit
15,10,key,one,green,vikital,1,vonkata,0,satini,1,trivata,0,sobonti,0,sontini,1,trininiti,1,trivata,0,travitita,1,trivet,1,trulet
15,10,key,one,red,taltinvan,0,velveta,1,velveta,1,velveta,1,velveta,1,velvata,0,tritini,1,trivatiti,1,trivatiti,0,triviet,0,jarbon
15,10,key,three,blue,sukinvi,1,vankiti,0,contiki,0,trivanti,0,trivata,0,tintiki,1,trivantini,0,trevantini,0,travaniti,0,seytili,0,trevelli
15,10,key,three,green,santovi,1,satini,1,satini,0,tratinki,0,trivata,1,triavanti,0,trivatina,1,trivatiti,0,tresaniti,0,trivinati,1,trivinati
15,10,key,three,red,tisiltin,0,vonsuvi,0,trivanki,1,trivonti,1,trivanti,1,sintaki,0,trivantini,0,trinta,0,tresanititi,1,juint,0,trvesti
15,10,key,two,blue,vultavil,1,triventi,1,trivent,1,santinki,1,triavanti,1,tevata,1,trivata,1,travata,0,tresaniti,0,truetel,1,truler
15,10,key,two,green,tunvulvo,0,contiki,1,contiki,1,trivanti,1,tintiki,0,trivatini,1,trivati,1,trivati,1,triviti,1,treler,1,trvnesti
15,10,key,two,red,kovunvol,0,vonkili,1,vonkili,0,velvata,1,velvata,1,tritiki,1,trivatiti,1,trivatiniti,1,travanti,0,traletille,1,trvenesti
15,10,phone,one,blue,vankantil,1,vankantil,1,consalt,0,vintinki,1,sintaki,1,tivatatini,1,tivati,1,trivata,0,tresaniti,0,trivelli,1,trulet
15,10,phone,one,green,vinkuti,0,vonsata,0,vontinki,1,vontinki,1,tintiki,0,trivanti,0,tavotini,1,trivantini,1,trevati,1,reburn,1,truler
15,10,phone,one,red,saltinson,1,saltinki,0,vantinki,1,vontinki,0,travanti,1,trevati,1,trivatiti,0,travititi,1,travititi,0,gertile,0,treler
15,10,phone,three,blue,tanvanso,1,vonsoto,0,satinki,0,vontinki,0,tintiki,1,trivanti,0,trevatini,1,trivata,1,tritiniti,1,travelit,1,trinesti
15,10,phone,three,green,sasanvul,1,vonkatil,1,vantini,0,vontinki,0,trivata,0,trivata,1,trivantini,0,trevatini,1,sabanititi,0,trvenest,1,truler
