TrainingSetSize,DiffusionChain,Shape,Number,Color,Form.0,Seen.1,Form.1,Seen.2,Form.2,Seen.3,Form.3,Seen.4,Form.4,Seen.5,Form.5,Seen.6,Form.6,Seen.7,Form.7,Seen.8,Form.8,Seen.9,Form.9,Seen.10,Form.10
12,1,berry,one,blue,kankitu,1,volsuvu,0,uvilsin,1,usalin,0,ulkesin,0,ulkesin,0,ukisen,0,ukisen,0,voloua,0,voloua,0,volou
12,1,berry,one,green,kinsilson,1,kinsilson,1,vuvulin,0,ulesin,0,ulkisen,1,ulkesin,1,ulkisen,0,ekisen,0,voloua,1,voloua,1,vouloua
12,1,berry,one,red,kosultil,0,vonsilvu,0,uvilson,0,ulusin,1,ulkesin,1,ulkesin,0,ukisen,0,ukisen,0,voloau,0,voloua,0,ukesin
12,1,berry,three,blue,vokinsu,0,vonsolvan,0,uvalin,1,uvusin,0,ulekens,0,ulkesin,0,ulklakin,0,ukisen,0,vuloua,0,volua,1,vololua
12,1,berry,three,green,vovovil,1,vovovil,1,uvalin,0,ulsin,0,uliken,0,ulkesin,0,ulklakin,0,elkisen,0,volua,1,volua,0,vololua
12,1,berry,three,red,volkulto,1,solvilvu,1,vulvusin,1,usalin,0,ulkesin,0,ulkesin,0,ulklakin,1,ulkisen,0,voluoa,0,volua,0,voloua
12,1,berry,two,blue,tinvanso,0,etrvan,0,kintaku,1,uksin,0,ukeli,0,ulkesin,0,ulkisen,1,ulkisen,0,voloa,0,vololua,1,ukesin
12,1,berry,two,green,kilkansin,0,kinsolvan,0,uvilson,0,ulkeslin,1,uleku,0,ulkesin,0,ulkisen,0,ulkisen,0,voloa,0,voloa,0,vouloua
12,1,berry,two,red,vonvinsu,1,konsilvan,1,usalin,1,vulin,1,elakin,1,ulkesin,0,ukisen,1,ulkisen,0,vola,0,volua,0,vouloua
12,1,key,one,blue,silvunkun,0,kinsilvu,0,ersonen,1,ekasin,0,vovuku,1,voulo,1,voula,1,voulou,1,volou,1,volou,1,ukisen
12,1,key,one,green,kultintin,0,vonsolvan,0,kinsalin,0,ekalin,1,voluako,1,vololu,1,voulu,1,voulu,1,vololua,1,vololua,0,volula
12,1,key,one,red,sutinvu,0,sonsilsun,0,kinsalin,0,eklu,0,vuvualo,1,vololo,0,voulo,0,voulau,1,voloua,0,voloula,1,ekisen
12,1,key,three,blue,voltunvu,1,volvoli,0,vuvulin,1,ekulu,1,vualu,0,volula,1,voulou,1,voululo,1,vouloloua,1,vouloloua,0,ukisen
12,1,key,three,green,toltulko,0,kinsolvan,1,vuvosin,0,vulvalin,0,elkasin,0,voulau,1,voulau,1,voululo,0,voluluoua,1,volululoa,1,vololou
12,1,key,three,red,vilkoltil,1,vonsilvn,1,suvalin,1,volvosin,1,ekasin,1,vololo,1,voulau,0,vululoau,1,vololua,0,vololoua,0,vololou
12,1,key,two,blue,kilkikun,0,ersonvn,1,ersonyn,0,ekasin,1,vovolu,0,voulula,1,voululo,1,vulou,1,voloula,0,vololua,0,ukisen
12,1,key,two,green,vonsolvan,1,ersilvu,0,vuvlin,1,eklu,0,vualu,1,voula,1,loulula,0,voululou,1,volula,1,volula,1,volula
12,1,key,two,red,tisoltin,0,volsolvu,1,uvantu,0,vualu,1,vololu,1,voula,0,voulolo,1,voulua,1,vouloua,1,vouloua,1,volola
12,1,phone,one,blue,suvalkol,0,konsilvu,0,volvin,0,ekatu,1,voulula,1,ekesin,1,ekesin,1,ulkisen,1,ekisen,1,ekisen,0,voluo
12,1,phone,one,green,kunsokin,0,sontigu,0,usulin,0,velin,1,eklin,0,elkesin,0,elkisen,0,ekisen,0,ukisen,0,ekisem,0,vololua
12,1,phone,one,red,kunkilka,0,volvitu,1,sintalin,0,vulsin,0,vovolo,1,elkesin,0,elkesin,1,ukisen,1,ekisen,0,ekisen,1,volou
